column,column_silver,qid,qname_base,match_method,sub_item,question,parent_question,qtype,selector,force_resp,is_multiselect,value_kind,n_answered,pct_answered,n_distinct,n_options,options,notes
WebframeWantToWorkWith,WebframeWantToWorkWith,QID264,Webframe,prefix,사용 희망,"Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,38535,58.9,11654,36,"[""React"", ""Node.js"", ""Next.js"", ""Vue.js"", ""ASP.NET CORE"", ""Angular"", ""Express"", ""Svelte"", ""Spring Boot"", ""Django"", ""FastAPI"", ""jQuery"", ""Htmx"", ""Flask"", ""ASP.NET"", ""Laravel"", ""NestJS"", ""Blazor"", ""WordPress"", ""Ruby on Rails"", ""Astro"", ""Nuxt.js"", ""Deno"", ""AngularJS"", ""Solid.js"", ""Phoenix"", ""Remix"", ""Symfony"", ""Fastify"", ""Strapi"", ""Elm"", ""Gatsby"", ""Drupal"", ""CodeIgniter"", ""Play Framework"", ""Yii 2""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
WebframeAdmired,WebframeAdmired,QID264,Webframe,prefix,선호(admired),"Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,34943,53.4,5460,36,"[""Node.js"", ""React"", ""ASP.NET CORE"", ""Next.js"", ""Express"", ""Vue.js"", ""Angular"", ""Spring Boot"", ""jQuery"", ""FastAPI"", ""Django"", ""Flask"", ""ASP.NET"", ""Svelte"", ""Laravel"", ""WordPress"", ""NestJS"", ""Blazor"", ""Ruby on Rails"", ""Htmx"", ""Nuxt.js"", ""Astro"", ""Symfony"", ""Phoenix"", ""AngularJS"", ""Fastify"", ""Deno"", ""Remix"", ""Solid.js"", ""Strapi"", ""Drupal"", ""CodeIgniter"", ""Gatsby"", ""Elm"", ""Yii 2"", ""Play Framework""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
EmbeddedHaveWorkedWith,EmbeddedHaveWorkedWith,QID340,Embedded,prefix,사용 경험,"Which <b>embedded systems and technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,22214,33.9,1630,20,"[""Rasberry Pi"", ""Arduino"", ""GNU GCC"", ""CMake"", ""LLVM's Clang"", ""Cargo"", ""MSVC"", ""Ninja"", ""PlatformIO"", ""Meson"", ""QMake"", ""Catch2"", ""cppunit"", ""Boost.Test"", ""doctest"", ""SCons"", ""ZMK"", ""Micronaut"", ""build2"", ""CUTE""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
EmbeddedWantToWorkWith,EmbeddedWantToWorkWith,QID340,Embedded,prefix,사용 희망,"Which <b>embedded systems and technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,17600,26.9,1471,20,"[""Rasberry Pi"", ""Arduino"", ""GNU GCC"", ""CMake"", ""Cargo"", ""LLVM's Clang"", ""Ninja"", ""MSVC"", ""PlatformIO"", ""Meson"", ""Catch2"", ""QMake"", ""cppunit"", ""doctest"", ""ZMK"", ""Boost.Test"", ""Micronaut"", ""SCons"", ""build2"", ""CUTE""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
EmbeddedAdmired,EmbeddedAdmired,QID340,Embedded,prefix,선호(admired),"Which <b>embedded systems and technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,16733,25.6,1053,20,"[""Rasberry Pi"", ""GNU GCC"", ""Arduino"", ""CMake"", ""Cargo"", ""LLVM's Clang"", ""Ninja"", ""MSVC"", ""PlatformIO"", ""Meson"", ""Catch2"", ""QMake"", ""cppunit"", ""doctest"", ""ZMK"", ""Boost.Test"", ""SCons"", ""Micronaut"", ""build2"", ""CUTE""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
MiscTechHaveWorkedWith,MiscTechHaveWorkedWith,QID265,MiscTech,prefix,사용 경험,"Which <b>other frameworks and libraries</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,39443,60.3,9288,39,"["".NET (5+) "", ""NumPy"", ""Pandas"", "".NET Framework (1.0 - 4.8)"", ""Spring Framework"", ""RabbitMQ"", ""Scikit-Learn"", ""Torch/PyTorch"", ""TensorFlow"", ""Apache Kafka"", ""Flutter"", ""Opencv"", ""React Native"", ""Qt"", ""OpenGL"", ""Electron"", ""CUDA"", ""Hugging Face Transformers"", ""Apache Spark"", ""SwiftUI"", ""Keras"", "".NET MAUI"", ""Ruff"", ""Xamarin"", ""GTK"", ""Ionic"", ""Tauri"", ""Hadoop"", ""Cordova"", ""DirectX"", ""Capacitor"", ""OpenCL"", ""Tidyverse"", ""Roslyn"", ""Quarkus"", ""Ktor"", ""mlflow"", ""JAX"", ""MFC""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
MiscTechWantToWorkWith,MiscTechWantToWorkWith,QID265,MiscTech,prefix,사용 희망,"Which <b>other frameworks and libraries</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,32964,50.4,10263,39,"["".NET (5+) "", ""NumPy"", ""Pandas"", ""Torch/PyTorch"", ""TensorFlow"", ""Apache Kafka"", ""RabbitMQ"", ""Flutter"", ""React Native"", ""Scikit-Learn"", ""Spring Framework"", ""CUDA"", ""Opencv"", ""OpenGL"", ""Hugging Face Transformers"", "".NET Framework (1.0 - 4.8)"", ""SwiftUI"", ""Apache Spark"", ""Electron"", ""Qt"", "".NET MAUI"", ""Tauri"", ""Keras"", ""Ruff"", ""Hadoop"", ""OpenCL"", ""GTK"", ""DirectX"", ""Roslyn"", ""Quarkus"", ""Ionic"", ""Ktor"", ""JAX"", ""Xamarin"", ""mlflow"", ""Tidyverse"", ""Capacitor"", ""Cordova"", ""MFC""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
MiscTechAdmired,MiscTechAdmired,QID265,MiscTech,prefix,선호(admired),"Which <b>other frameworks and libraries</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,29596,45.2,4917,39,"["".NET (5+) "", ""NumPy"", ""Pandas"", ""Torch/PyTorch"", ""Spring Framework"", ""Scikit-Learn"", ""RabbitMQ"", ""Apache Kafka"", ""TensorFlow"", ""Flutter"", "".NET Framework (1.0 - 4.8)"", ""Opencv"", ""React Native"", ""OpenGL"", ""CUDA"", ""Qt"", ""Hugging Face Transformers"", ""SwiftUI"", ""Electron"", ""Keras"", ""Apache Spark"", ""Ruff"", ""Tauri"", "".NET MAUI"", ""Roslyn"", ""GTK"", ""Tidyverse"", ""Ionic"", ""Capacitor"", ""DirectX"", ""OpenCL"", ""Ktor"", ""Hadoop"", ""Quarkus"", ""mlflow"", ""Xamarin"", ""JAX"", ""Cordova"", ""MFC""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
ToolsTechHaveWorkedWith,ToolsTechHaveWorkedWith,QID275,ToolsTech,prefix,사용 경험,"Which <b>developer </b><strong>tools for compiling, building and testing</strong> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,52482,80.2,19883,34,"[""Docker"", ""npm"", ""Pip"", ""Homebrew"", ""Make"", ""Vite"", ""Kubernetes"", ""Yarn"", ""Webpack"", ""NuGet"", ""Maven (build tool)"", ""Visual Studio Solution"", ""Gradle"", ""MSBuild"", ""Terraform"", ""APT"", ""pnpm"", ""Composer"", ""Chocolatey"", ""Ansible"", ""Pacman"", ""Unity 3D"", ""Podman"", ""Godot"", ""Ninja"", ""Bun"", ""Google Test"", ""Unreal Engine"", ""Ant"", ""Nix"", ""Dagger"", ""Puppet"", ""Pulumi"", ""Chef""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
ToolsTechWantToWorkWith,ToolsTechWantToWorkWith,QID275,ToolsTech,prefix,사용 희망,"Which <b>developer </b><strong>tools for compiling, building and testing</strong> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,46084,70.4,16549,34,"[""Docker"", ""npm"", ""Kubernetes"", ""Pip"", ""Vite"", ""Homebrew"", ""Make"", ""Terraform"", ""NuGet"", ""Visual Studio Solution"", ""Yarn"", ""Gradle"", ""Maven (build tool)"", ""Webpack"", ""pnpm"", ""APT"", ""Ansible"", ""Bun"", ""MSBuild"", ""Godot"", ""Podman"", ""Composer"", ""Pacman"", ""Unreal Engine"", ""Unity 3D"", ""Chocolatey"", ""Nix"", ""Ninja"", ""Google Test"", ""Pulumi"", ""Ant"", ""Dagger"", ""Puppet"", ""Chef""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
ToolsTechAdmired,ToolsTechAdmired,QID275,ToolsTech,prefix,선호(admired),"Which <b>developer </b><strong>tools for compiling, building and testing</strong> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)",,Matrix,Likert,FALSE,Y,multiselect,43997,67.2,11804,34,"[""Docker"", ""npm"", ""Pip"", ""Homebrew"", ""Vite"", ""Kubernetes"", ""Make"", ""NuGet"", ""Visual Studio Solution"", ""Yarn"", ""Maven (build tool)"", ""Gradle"", ""APT"", ""Webpack"", ""Terraform"", ""MSBuild"", ""pnpm"", ""Composer"", ""Pacman"", ""Ansible"", ""Chocolatey"", ""Podman"", ""Godot"", ""Bun"", ""Unity 3D"", ""Ninja"", ""Nix"", ""Google Test"", ""Unreal Engine"", ""Ant"", ""Dagger"", ""Pulumi"", ""Puppet"", ""Chef""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
NEWCollabToolsHaveWorkedWith,NEWCollabToolsHaveWorkedWith,QID274,NEWCollabTools,prefix,사용 경험,"Which <strong>development environments</strong> did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply.",,Matrix,Likert,FALSE,Y,multiselect,57592,88.0,14168,35,"[""Visual Studio Code"", ""Visual Studio"", ""IntelliJ IDEA"", ""Notepad++"", ""Vim"", ""Android Studio"", ""PyCharm"", ""Jupyter Notebook/JupyterLab"", ""Neovim"", ""Sublime Text"", ""Eclipse"", ""Xcode"", ""Nano"", ""WebStorm"", ""PhpStorm"", ""Rider"", ""DataGrip"", ""VSCodium"", ""IPython"", ""CLion"", ""Emacs"", ""Goland"", ""Netbeans"", ""RStudio"", ""Qt Creator"", ""Code::Blocks"", ""Kate"", ""Fleet"", ""Helix"", ""Spyder"", ""RubyMine"", ""Geany"", ""Rad Studio (Delphi, C++ Builder)"", ""BBEdit"", ""Spacemacs""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
NEWCollabToolsWantToWorkWith,NEWCollabToolsWantToWorkWith,QID274,NEWCollabTools,prefix,사용 희망,"Which <strong>development environments</strong> did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply.",,Matrix,Likert,FALSE,Y,multiselect,52087,79.6,9751,35,"[""Visual Studio Code"", ""IntelliJ IDEA"", ""Visual Studio"", ""Vim"", ""Notepad++"", ""Neovim"", ""PyCharm"", ""Android Studio"", ""Jupyter Notebook/JupyterLab"", ""Xcode"", ""Sublime Text"", ""WebStorm"", ""Nano"", ""Rider"", ""VSCodium"", ""DataGrip"", ""PhpStorm"", ""Emacs"", ""IPython"", ""CLion"", ""Goland"", ""Eclipse"", ""Helix"", ""RStudio"", ""Qt Creator"", ""Fleet"", ""Kate"", ""RubyMine"", ""Netbeans"", ""Spyder"", ""Rad Studio (Delphi, C++ Builder)"", ""Code::Blocks"", ""BBEdit"", ""Geany"", ""Spacemacs""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
NEWCollabToolsAdmired,NEWCollabToolsAdmired,QID274,NEWCollabTools,prefix,선호(admired),"Which <strong>development environments</strong> did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply.",,Matrix,Likert,FALSE,Y,multiselect,50711,77.5,7545,35,"[""Visual Studio Code"", ""IntelliJ IDEA"", ""Visual Studio"", ""Notepad++"", ""Vim"", ""Neovim"", ""PyCharm"", ""Jupyter Notebook/JupyterLab"", ""Android Studio"", ""Sublime Text"", ""Nano"", ""WebStorm"", ""Xcode"", ""Rider"", ""PhpStorm"", ""DataGrip"", ""IPython"", ""VSCodium"", ""Emacs"", ""Eclipse"", ""CLion"", ""Goland"", ""RStudio"", ""Kate"", ""Helix"", ""Qt Creator"", ""Fleet"", ""Netbeans"", ""RubyMine"", ""Rad Studio (Delphi, C++ Builder)"", ""Spyder"", ""BBEdit"", ""Geany"", ""Code::Blocks"", ""Spacemacs""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OpSysPersonal use,OpSysPersonalUse,QID71,OpSys,prefix,Personal use,What is the primary <b>operating system</b> in which you work?,,Matrix,Likert,FALSE,Y,multiselect,58174,88.9,2488,19,"[""Windows"", ""MacOS"", ""Ubuntu"", ""Android"", ""Windows Subsystem for Linux (WSL)"", ""iOS"", ""Debian"", ""Other Linux-based"", ""Arch"", ""iPadOS"", ""Fedora"", ""Other (please specify):"", ""Red Hat"", ""ChromeOS"", ""Cygwin"", ""BSD"", ""Solaris"", ""AIX"", ""Haiku""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OpSysProfessional use,OpSysProfessionalUse,QID71,OpSys,prefix,Professional use,What is the primary <b>operating system</b> in which you work?,,Matrix,Likert,FALSE,Y,multiselect,52973,81.0,2032,19,"[""Windows"", ""MacOS"", ""Ubuntu"", ""Windows Subsystem for Linux (WSL)"", ""Debian"", ""Android"", ""Other Linux-based"", ""iOS"", ""Red Hat"", ""Arch"", ""Fedora"", ""iPadOS"", ""Other (please specify):"", ""ChromeOS"", ""Cygwin"", ""BSD"", ""AIX"", ""Solaris"", ""Haiku""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncHaveWorkedWith,QID282,OfficeStackAsync,prefix,사용 경험,"Which <b>collaborative work management and/or code documentation tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",,Matrix,Likert,FALSE,Y,multiselect,48093,73.5,6014,25,"[""Jira"", ""Confluence"", ""Markdown File"", ""Trello"", ""Notion"", ""GitHub Discussions"", ""Azure Devops"", ""Miro"", ""Obsidian"", ""Wikis"", ""Asana"", ""Clickup"", ""Doxygen"", ""Lucid"", ""Redmine"", ""Linear"", ""Microsoft Planner"", ""Stack Overflow for Teams"", ""Monday.com"", ""YouTrack"", ""Airtable"", ""Basecamp"", ""Microsoft Lists"", ""Smartsheet"", ""Shortcut""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OfficeStackAsyncWantToWorkWith,OfficeStackAsyncWantToWorkWith,QID282,OfficeStackAsync,prefix,사용 희망,"Which <b>collaborative work management and/or code documentation tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",,Matrix,Likert,FALSE,Y,multiselect,38966,59.5,3801,25,"[""Jira"", ""Markdown File"", ""Confluence"", ""GitHub Discussions"", ""Notion"", ""Obsidian"", ""Azure Devops"", ""Trello"", ""Miro"", ""Wikis"", ""Stack Overflow for Teams"", ""Linear"", ""Doxygen"", ""Clickup"", ""Asana"", ""Lucid"", ""YouTrack"", ""Microsoft Planner"", ""Redmine"", ""Monday.com"", ""Airtable"", ""Basecamp"", ""Microsoft Lists"", ""Shortcut"", ""Smartsheet""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OfficeStackAsyncAdmired,OfficeStackAsyncAdmired,QID282,OfficeStackAsync,prefix,선호(admired),"Which <b>collaborative work management and/or code documentation tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",,Matrix,Likert,FALSE,Y,multiselect,37204,56.9,2661,25,"[""Jira"", ""Markdown File"", ""Confluence"", ""GitHub Discussions"", ""Notion"", ""Azure Devops"", ""Obsidian"", ""Trello"", ""Miro"", ""Wikis"", ""Doxygen"", ""Linear"", ""Clickup"", ""Asana"", ""Lucid"", ""Stack Overflow for Teams"", ""YouTrack"", ""Microsoft Planner"", ""Redmine"", ""Airtable"", ""Monday.com"", ""Basecamp"", ""Shortcut"", ""Microsoft Lists"", ""Smartsheet""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OfficeStackSyncHaveWorkedWith,OfficeStackSyncHaveWorkedWith,QID307,OfficeStackSync,prefix,사용 경험,"Which <b>communication tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",,Matrix,Likert,FALSE,Y,multiselect,55545,84.9,5049,23,"[""Microsoft Teams"", ""Slack"", ""Zoom"", ""Discord"", ""Google Meet"", ""Whatsapp"", ""Telegram"", ""Skype"", ""Signal"", ""Google Chat"", ""Cisco Webex Teams"", ""Mattermost"", ""Matrix"", ""Jitsi"", ""IRC"", ""Rocketchat"", ""Zulip"", ""Ringcentral"", ""Symphony"", ""Wire"", ""Wickr"", ""Unify Circuit"", ""Coolfire Core""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OfficeStackSyncWantToWorkWith,OfficeStackSyncWantToWorkWith,QID307,OfficeStackSync,prefix,사용 희망,"Which <b>communication tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",,Matrix,Likert,FALSE,Y,multiselect,46711,71.4,3205,23,"[""Slack"", ""Discord"", ""Microsoft Teams"", ""Google Meet"", ""Whatsapp"", ""Zoom"", ""Telegram"", ""Signal"", ""Google Chat"", ""Skype"", ""Matrix"", ""Mattermost"", ""IRC"", ""Jitsi"", ""Cisco Webex Teams"", ""Zulip"", ""Rocketchat"", ""Wire"", ""Ringcentral"", ""Symphony"", ""Wickr"", ""Coolfire Core"", ""Unify Circuit""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
OfficeStackSyncAdmired,OfficeStackSyncAdmired,QID307,OfficeStackSync,prefix,선호(admired),"Which <b>communication tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",,Matrix,Likert,FALSE,Y,multiselect,44712,68.3,2555,23,"[""Slack"", ""Discord"", ""Microsoft Teams"", ""Google Meet"", ""Whatsapp"", ""Zoom"", ""Telegram"", ""Signal"", ""Google Chat"", ""Skype"", ""Matrix"", ""Mattermost"", ""Jitsi"", ""Cisco Webex Teams"", ""IRC"", ""Zulip"", ""Rocketchat"", ""Ringcentral"", ""Wire"", ""Symphony"", ""Wickr"", ""Coolfire Core"", ""Unify Circuit""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AISearchDevHaveWorkedWith,AISearchDevHaveWorkedWith,QID327,AISearchDev,prefix,사용 경험,"Which <b>AI-powered search and developer tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply.",,Matrix,Likert,FALSE,Y,multiselect,44453,67.9,2663,25,"[""ChatGPT"", ""GitHub Copilot"", ""Google Gemini"", ""Bing AI"", ""Visual Studio Intellicode"", ""Claude"", ""Codeium"", ""WolframAlpha"", ""Perplexity AI"", ""Tabnine"", ""Phind"", ""Meta AI"", ""Amazon Q"", ""You.com"", ""Cody"", ""OpenAI Codex"", ""Whispr AI"", ""Quora Poe"", ""Snyk Code"", ""Replit Ghostwriter"", ""Lightning AI"", ""AskCodi"", ""Andi"", ""Neeva AI"", ""Metaphor""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AISearchDevWantToWorkWith,AISearchDevWantToWorkWith,QID327,AISearchDev,prefix,사용 희망,"Which <b>AI-powered search and developer tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply.",,Matrix,Likert,FALSE,Y,multiselect,36701,56.1,2361,25,"[""ChatGPT"", ""GitHub Copilot"", ""Google Gemini"", ""Visual Studio Intellicode"", ""Bing AI"", ""Claude"", ""Codeium"", ""WolframAlpha"", ""Perplexity AI"", ""Meta AI"", ""Phind"", ""Tabnine"", ""Amazon Q"", ""OpenAI Codex"", ""Whispr AI"", ""Cody"", ""Snyk Code"", ""You.com"", ""Quora Poe"", ""Lightning AI"", ""Replit Ghostwriter"", ""AskCodi"", ""Metaphor"", ""Andi"", ""Neeva AI""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AISearchDevAdmired,AISearchDevAdmired,QID327,AISearchDev,prefix,선호(admired),"Which <b>AI-powered search and developer tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply.",,Matrix,Likert,FALSE,Y,multiselect,35543,54.3,1488,25,"[""ChatGPT"", ""GitHub Copilot"", ""Google Gemini"", ""Visual Studio Intellicode"", ""Bing AI"", ""Claude"", ""Codeium"", ""WolframAlpha"", ""Perplexity AI"", ""Phind"", ""Tabnine"", ""Meta AI"", ""Amazon Q"", ""OpenAI Codex"", ""Cody"", ""You.com"", ""Whispr AI"", ""Snyk Code"", ""Quora Poe"", ""Lightning AI"", ""Replit Ghostwriter"", ""Andi"", ""AskCodi"", ""Metaphor"", ""Neeva AI""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
NEWSOSites,NEWSOSites,QID266,NEWSOSites,exact,,Which of the following Stack Overflow sites have you visited? Select all that apply. *,,MC,MAVR,TRUE,Y,multiselect,60286,92.1,32,6,"[""Stack Overflow"", ""Stack Exchange"", ""Stack Overflow Blog or Podcast"", ""Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies)"", ""Overflow API"", ""I have never visited Stack Overflow or the Stack Exchange network""]",
SOVisitFreq,SOVisitFreq,QID100,SOVisitFreq,exact,,How frequently would you say you visit Stack Overflow?,,MC,SAVR,FALSE,N,categorical,59536,91.0,5,5,"[""A few times per week"", ""Daily or almost daily"", ""A few times per month or weekly"", ""Multiple times per day"", ""Less than once per month or monthly""]",
SOAccount,SOAccount,QID101,SOAccount,exact,,Do you have a Stack Overflow account?,,MC,SAVR,FALSE,N,categorical,59560,91.0,3,3,"[""Yes"", ""No"", ""Not sure/can't remember""]",
SOPartFreq,SOPartFreq,QID102,SOPartFreq,exact,,"How frequently would you say you participate in Q&amp;A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions.",,MC,SAVR,FALSE,N,categorical,45237,69.1,6,6,"[""Less than once per month or monthly"", ""I have never participated in Q&A on Stack Overflow"", ""A few times per month or weekly"", ""A few times per week"", ""Daily or almost daily"", ""Multiple times per day""]",
SOHow,SOHow,QID334,SOHow,exact,,How do you use Stack Overflow?  Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,58962,90.1,111,7,"[""Quickly finding code solutions"", ""Finding reliable guidance from community-vetted answers"", ""Learning new-to-me technology/techniques"", ""Engage with community by commenting on questions and answers or voting on questions and answers"", ""Showcase expertise with code solutions"", ""Learning new-to-everyone technology/techniques"", ""Other (please specify):""]",
SOComm,SOComm,QID106,SOComm,exact,,Do you consider yourself a member of the Stack Overflow community?,,MC,SAVR,FALSE,N,categorical,59163,90.4,6,6,"[""No, not really"", ""Yes, somewhat"", ""Neutral"", ""No, not at all"", ""Yes, definitely"", ""Not sure""]",
AISelect,AISelect,QID314,AISelect,exact,,Do you currently use AI tools in your development process? *,,MC,SAVR,TRUE,N,categorical,60907,93.1,3,3,"[""Yes"", ""No, and I don't plan to"", ""No, but I plan to soon""]",
AISent,AISent,QID315,AISent,exact,,How favorable is your stance on using AI tools as part of your development workflow?,,MC,SAVR,FALSE,N,categorical,45873,70.1,6,6,"[""Favorable"", ""Very favorable"", ""Indifferent"", ""Unfavorable"", ""Unsure"", ""Very unfavorable""]",
AIBen,AIBen,QID324,AIBen,exact,,"For the AI tools you use as part of your development workflow, what are the MOST important benefits you are hoping to achieve? Please check all that apply.",,MC,MAVR,FALSE,Y,multiselect,36894,56.4,113,7,"[""Increase productivity"", ""Speed up learning"", ""Greater efficiency"", ""Improve accuracy in coding"", ""Make workload more manageable"", ""Improve collaboration"", ""Other (please specify):""]",
AIAcc,AIAcc,QID316,AIAcc,exact,,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,,MC,SAVR,FALSE,N,categorical,37302,57.0,5,5,"[""Somewhat trust"", ""Neither trust nor distrust"", ""Somewhat distrust"", ""Highly distrust"", ""Highly trust""]",
AIComplex,AIComplex,QID343,AIComplex,exact,,How well do the AI tools you use in your development workflow handle complex tasks?,,MC,SAVR,FALSE,N,categorical,37021,56.6,5,5,"[""Good, but not great at handling complex tasks"", ""Bad at handling complex tasks"", ""Neither good or bad at handling complex tasks"", ""Very poor at handling complex tasks"", ""Very well at handling complex tasks""]",
AIToolCurrently Using,AIToolCurrentlyUsing,QID319,AITool,prefix,Currently Using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year?  Please select all that apply.,,Matrix,Likert,FALSE,Y,multiselect,35072,53.6,1310,12,"[""Writing code"", ""Search for answers"", ""Debugging and getting help"", ""Documenting code"", ""Generating content or synthetic data"", ""Learning about a codebase"", ""Testing code"", ""Committing and reviewing code"", ""Project planning"", ""Predictive analytics"", ""Deployment and monitoring"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AIToolInterested in Using,AIToolInterestedInUsing,QID319,AITool,prefix,Interested in Using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year?  Please select all that apply.,,Matrix,Likert,FALSE,Y,multiselect,30691,46.9,1949,12,"[""Testing code"", ""Committing and reviewing code"", ""Learning about a codebase"", ""Predictive analytics"", ""Deployment and monitoring"", ""Documenting code"", ""Generating content or synthetic data"", ""Project planning"", ""Debugging and getting help"", ""Search for answers"", ""Writing code"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AIToolNot interested in Using,AIToolNotInterestedInUsing,QID319,AITool,prefix,Not interested in Using,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year?  Please select all that apply.,,Matrix,Likert,FALSE,Y,multiselect,24414,37.3,1531,12,"[""Project planning"", ""Deployment and monitoring"", ""Predictive analytics"", ""Committing and reviewing code"", ""Learning about a codebase"", ""Generating content or synthetic data"", ""Testing code"", ""Documenting code"", ""Debugging and getting help"", ""Search for answers"", ""Writing code"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
AINextMuch more integrated,AINextMuchMoreIntegrated,QID320,AINext,prefix,Much more integrated,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now?",,Matrix,Likert,FALSE,Y,multiselect,13438,20.5,700,12,"[""Search for answers"", ""Writing code"", ""Debugging and getting help"", ""Documenting code"", ""Generating content or synthetic data"", ""Testing code"", ""Learning about a codebase"", ""Committing and reviewing code"", ""Project planning"", ""Predictive analytics"", ""Deployment and monitoring"", ""Other (please specify):""]",행렬형 문항이 펼쳐진 컬럼 — question은 문항 줄기.
